DEBUG 2017-05-05 19:44:17,996 2092773ms UserController         MyChart            -  Time Error Occured :5/5/2017 7:44:17 PM
DEBUG 2017-05-05 19:44:17,996 2092773ms UserController         MyChart            - ****************
DEBUG 2017-05-05 19:44:18,080 2092857ms UserController         DispPie            - ****************
ERROR 2017-05-05 19:44:18,080 2092857ms UserController         DispPie            - Object reference not set to an instance of an object.
DEBUG 2017-05-05 19:44:18,080 2092857ms UserController         DispPie            -  Time Error Occured :5/5/2017 7:44:18 PM
DEBUG 2017-05-05 19:44:18,084 2092861ms UserController         DispPie            - ****************
DEBUG 2017-05-05 19:56:08,589 56459ms AdminController        DispPie            - ****************
ERROR 2017-05-05 19:56:08,685 56555ms AdminController        DispPie            - Object reference not set to an instance of an object.
DEBUG 2017-05-05 19:56:08,689 56559ms AdminController        DispPie            -  Time Error Occured :5/5/2017 7:56:08 PM
DEBUG 2017-05-05 19:56:08,689 56559ms AdminController        DispPie            - ****************
DEBUG 2017-05-05 20:31:01,530 178659ms AdminController        MyChart            - ****************
ERROR 2017-05-05 20:31:01,688 178817ms AdminController        MyChart            - Object reference not set to an instance of an object.
DEBUG 2017-05-05 20:31:01,690 178819ms AdminController        MyChart            -  Time Error Occured :5/5/2017 8:31:01 PM
DEBUG 2017-05-05 20:31:01,691 178820ms AdminController        MyChart            - ****************
DEBUG 2017-05-05 20:31:02,294 179423ms AdminController        DispPie            - ****************
ERROR 2017-05-05 20:31:02,297 179426ms AdminController        DispPie            - Object reference not set to an instance of an object.
DEBUG 2017-05-05 20:31:02,300 179429ms AdminController        DispPie            -  Time Error Occured :5/5/2017 8:31:02 PM
DEBUG 2017-05-05 20:31:02,302 179431ms AdminController        DispPie            - ****************
DEBUG 2017-05-05 20:31:37,578 214707ms AdminController        MyChart            - ****************
ERROR 2017-05-05 20:31:37,584 214713ms AdminController        MyChart            - Object reference not set to an instance of an object.
DEBUG 2017-05-05 20:31:37,586 214715ms AdminController        MyChart            -  Time Error Occured :5/5/2017 8:31:37 PM
DEBUG 2017-05-05 20:31:37,587 214716ms AdminController        MyChart            - ****************
DEBUG 2017-05-05 20:32:06,689 243818ms AdminController        Admin              - ****************
ERROR 2017-05-05 20:32:06,692 243821ms AdminController        Admin              - Exception of type 'System.Exception' was thrown.
DEBUG 2017-05-05 20:32:06,693 243822ms AdminController        Admin              -  Time Error Occured :5/5/2017 8:32:06 PM
DEBUG 2017-05-05 20:32:06,695 243824ms AdminController        Admin              - ****************
DEBUG 2017-05-05 20:32:10,799 247928ms AdminController        Admin              - ****************
ERROR 2017-05-05 20:32:10,800 247929ms AdminController        Admin              - Exception of type 'System.Exception' was thrown.
DEBUG 2017-05-05 20:32:10,802 247931ms AdminController        Admin              -  Time Error Occured :5/5/2017 8:32:10 PM
DEBUG 2017-05-05 20:32:10,803 247932ms AdminController        Admin              - ****************
DEBUG 2017-05-05 20:41:04,306 59555ms AdminController        MyChart            - ****************
ERROR 2017-05-05 20:41:04,488 59738ms AdminController        MyChart            - Object reference not set to an instance of an object.
DEBUG 2017-05-05 20:41:04,490 59740ms AdminController        MyChart            -  Time Error Occured :5/5/2017 8:41:04 PM
DEBUG 2017-05-05 20:41:04,492 59742ms AdminController        MyChart            - ****************
DEBUG 2017-05-05 20:41:04,619 59869ms AdminController        DispPie            - ****************
ERROR 2017-05-05 20:41:04,621 59871ms AdminController        DispPie            - Object reference not set to an instance of an object.
DEBUG 2017-05-05 20:41:04,623 59873ms AdminController        DispPie            -  Time Error Occured :5/5/2017 8:41:04 PM
DEBUG 2017-05-05 20:41:04,624 59874ms AdminController        DispPie            - ****************
DEBUG 2017-05-05 20:58:14,016 369597ms AdminController        MyChart            - ****************
ERROR 2017-05-05 20:58:14,232 369814ms AdminController        MyChart            - Object reference not set to an instance of an object.
DEBUG 2017-05-05 20:58:14,234 369816ms AdminController        MyChart            -  Time Error Occured :5/5/2017 8:58:14 PM
DEBUG 2017-05-05 20:58:14,235 369817ms AdminController        MyChart            - ****************
DEBUG 2017-05-05 20:58:14,328 369909ms AdminController        DispPie            - ****************
ERROR 2017-05-05 20:58:14,330 369911ms AdminController        DispPie            - Object reference not set to an instance of an object.
DEBUG 2017-05-05 20:58:14,331 369912ms AdminController        DispPie            -  Time Error Occured :5/5/2017 8:58:14 PM
DEBUG 2017-05-05 20:58:14,332 369913ms AdminController        DispPie            - ****************
DEBUG 2017-05-05 21:02:35,613 78529ms AdminController        MyChart            - ****************
ERROR 2017-05-05 21:02:35,760 78676ms AdminController        MyChart            - Object reference not set to an instance of an object.
DEBUG 2017-05-05 21:02:35,761 78677ms AdminController        MyChart            -  Time Error Occured :5/5/2017 9:02:35 PM
DEBUG 2017-05-05 21:02:35,763 78679ms AdminController        MyChart            - ****************
DEBUG 2017-05-05 21:02:35,899 78816ms AdminController        DispPie            - ****************
ERROR 2017-05-05 21:02:35,901 78818ms AdminController        DispPie            - Object reference not set to an instance of an object.
DEBUG 2017-05-05 21:02:35,903 78820ms AdminController        DispPie            -  Time Error Occured :5/5/2017 9:02:35 PM
DEBUG 2017-05-05 21:02:35,904 78821ms AdminController        DispPie            - ****************
DEBUG 2017-05-05 21:07:25,780 108457ms AdminController        MyChart            - ****************
ERROR 2017-05-05 21:07:25,943 108619ms AdminController        MyChart            - Object reference not set to an instance of an object.
DEBUG 2017-05-05 21:07:25,949 108626ms AdminController        MyChart            -  Time Error Occured :5/5/2017 9:07:25 PM
DEBUG 2017-05-05 21:07:25,954 108631ms AdminController        MyChart            - ****************
DEBUG 2017-05-05 21:19:12,004 127587ms AdminController        MyChart            - ****************
ERROR 2017-05-05 21:19:12,182 127766ms AdminController        MyChart            - Object reference not set to an instance of an object.
DEBUG 2017-05-05 21:19:12,186 127770ms AdminController        MyChart            -  Time Error Occured :5/5/2017 9:19:12 PM
DEBUG 2017-05-05 21:19:12,188 127772ms AdminController        MyChart            - ****************
DEBUG 2017-05-05 21:19:12,246 127830ms AdminController        DispPie            - ****************
ERROR 2017-05-05 21:19:12,248 127832ms AdminController        DispPie            - Object reference not set to an instance of an object.
DEBUG 2017-05-05 21:19:12,250 127834ms AdminController        DispPie            -  Time Error Occured :5/5/2017 9:19:12 PM
DEBUG 2017-05-05 21:19:12,251 127835ms AdminController        DispPie            - ****************
DEBUG 2017-05-05 21:22:13,339 65999ms AdminController        MyChart            - ****************
ERROR 2017-05-05 21:22:13,430 66090ms AdminController        MyChart            - Object reference not set to an instance of an object.
DEBUG 2017-05-05 21:22:13,432 66092ms AdminController        MyChart            -  Time Error Occured :5/5/2017 9:22:13 PM
DEBUG 2017-05-05 21:22:13,433 66093ms AdminController        MyChart            - ****************
DEBUG 2017-05-05 21:47:34,944 19575ms MvcApplication         Application_Error  - ****************
ERROR 2017-05-05 21:47:35,019 19649ms MvcApplication         Application_Error  - The controller for path '/hsbdjbsa/fksjjfjsb/sajhgfjhb' was not found or does not implement IController.
DEBUG 2017-05-05 21:47:35,020 19650ms MvcApplication         Application_Error  -  Time Error Occured :5/5/2017 9:47:35 PM
DEBUG 2017-05-05 21:47:35,020 19650ms MvcApplication         Application_Error  - ****************
DEBUG 2017-05-05 21:47:35,032 19662ms MvcApplication         Application_Error  - ****************
ERROR 2017-05-05 21:47:35,033 19663ms MvcApplication         Application_Error  - The controller for path '/hsbdjbsa/fksjjfjsb/sajhgfjhb' was not found or does not implement IController.
DEBUG 2017-05-05 21:47:35,034 19664ms MvcApplication         Application_Error  -  Time Error Occured :5/5/2017 9:47:35 PM
DEBUG 2017-05-05 21:47:35,034 19664ms MvcApplication         Application_Error  - ****************
DEBUG 2017-05-05 21:48:45,641 90272ms AdminController        MyChart            - ****************
ERROR 2017-05-05 21:48:45,647 90278ms AdminController        MyChart            - Object reference not set to an instance of an object.
DEBUG 2017-05-05 21:48:45,648 90279ms AdminController        MyChart            -  Time Error Occured :5/5/2017 9:48:45 PM
DEBUG 2017-05-05 21:48:45,650 90281ms AdminController        MyChart            - ****************
DEBUG 2017-05-05 21:48:45,846 90476ms AdminController        DispPie            - ****************
ERROR 2017-05-05 21:48:45,849 90479ms AdminController        DispPie            - Object reference not set to an instance of an object.
DEBUG 2017-05-05 21:48:45,851 90481ms AdminController        DispPie            -  Time Error Occured :5/5/2017 9:48:45 PM
DEBUG 2017-05-05 21:48:45,852 90482ms AdminController        DispPie            - ****************
DEBUG 2017-05-05 21:51:55,398 280028ms MvcApplication         Application_Error  - ****************
ERROR 2017-05-05 21:51:55,400 280030ms MvcApplication         Application_Error  - A public action method 'About' was not found on controller 'FinalProject.Controllers.AdminController'.
DEBUG 2017-05-05 21:51:55,400 280030ms MvcApplication         Application_Error  -  Time Error Occured :5/5/2017 9:51:55 PM
DEBUG 2017-05-05 21:51:55,401 280031ms MvcApplication         Application_Error  - ****************
DEBUG 2017-05-05 21:51:55,405 280035ms MvcApplication         Application_Error  - ****************
ERROR 2017-05-05 21:51:55,406 280036ms MvcApplication         Application_Error  - A public action method 'About' was not found on controller 'FinalProject.Controllers.AdminController'.
DEBUG 2017-05-05 21:51:55,406 280036ms MvcApplication         Application_Error  -  Time Error Occured :5/5/2017 9:51:55 PM
DEBUG 2017-05-05 21:51:55,407 280037ms MvcApplication         Application_Error  - ****************
